
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
56:16:51:9C:A1:43, 2023-02-02 04:39:05, 2023-02-02 04:39:10,  6,  -1, OPN, ,   , -96,        0,        3, 172. 16. 13. 24,   0, , 
28:77:77:71:6E:3A, 2023-02-02 04:39:02, 2023-02-02 04:39:02,  3, 130, WPA2, CCMP TKIP, PSK, -72,        4,        0,   0.  0.  0.  0,  15, ZTE_2.4G_CAcK4t, 
00:01:23:06:1F:79, 2023-02-02 04:39:00, 2023-02-02 04:39:10,  6, 130, OPN, ,   , -67,       13,        0,   0.  0.  0.  0,  16, Abdurrab-Hotspot, 
00:01:23:05:FB:79, 2023-02-02 04:39:00, 2023-02-02 04:39:06,  1, 130, OPN, ,   , -67,        5,        4,  10.223. 42.  1,  16, Abdurrab-Hotspot, 
00:01:23:06:00:F2, 2023-02-02 04:39:01, 2023-02-02 04:39:06,  1, 130, OPN, ,   , -72,        6,        3,  10.223. 42.  1,  15, ABDURAB-HOSTPOT, 
00:01:23:05:BE:77, 2023-02-02 04:39:01, 2023-02-02 04:39:10,  6, 130, OPN, ,   , -61,       14,       11,  10.223. 42.  1,  16, Abdurrab-Hotspot, 
56:16:51:8C:9D:3B, 2023-02-02 04:39:01, 2023-02-02 04:39:10, 11, 360, WPA2, CCMP, PSK, -55,       25,        0,   0.  0.  0.  0,   0, , 
56:16:51:9C:C6:83, 2023-02-02 04:39:00, 2023-02-02 04:39:10,  6, 360, OPN, ,   , -54,       27,       21, 172. 16. 13. 24,  19, MAJELISILMU-UNIVRAB, 
00:01:23:05:E4:F9, 2023-02-02 04:39:01, 2023-02-02 04:39:10,  9, 130, OPN, ,   , -54,       21,       10,  10.223. 43. 33,  16, Abdurrab-Hotspot, 
56:16:51:9C:9D:3B, 2023-02-02 04:39:01, 2023-02-02 04:39:10, 11, 360, OPN, ,   , -55,       24,       10, 172. 16. 13.  1,  18, RUANGRAPAT-UNIVRAB, 
56:16:51:8C:C6:83, 2023-02-02 04:39:00, 2023-02-02 04:39:10,  6, 360, WPA2, CCMP, PSK, -94,       21,        0,   0.  0.  0.  0,   0, , 
00:01:23:06:1B:D7, 2023-02-02 04:39:00, 2023-02-02 04:39:07,  1, 130, OPN, ,   , -54,       15,        7,  10.223. 42.  1,  23, Abdurrab-HotspotAFFRIDO, 
A2:51:0B:2C:9B:83, 2023-02-02 04:39:05, 2023-02-02 04:39:10,  6,  65, WPA2, CCMP, PSK, -38,        5,        0,   0.  0.  0.  0,   4, wifi, 
00:01:23:06:07:3D, 2023-02-02 04:39:06, 2023-02-02 04:39:06,  1, 130, OPN, ,   , -68,        1,        0,   0.  0.  0.  0,  16, Abdurrab-Hotspot, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs

